groupId,artifactId,version,licence,URL showing licence
org.apache.camel,Camel-stream,2.5.0,Apache 2.0 licence,http://camel.apache.org/what-is-the-license.html,,,likely licences e.g.:
Org.apache.camel,Camel-core,2.5.0,Apache 2.0 licence,http://camel.apache.org/maven/camel-2.2.0/camel-core/license.html,,,LGPL 2.1
org.fusesource.commonman,Commons-management,1.0,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.fusesource.commonman/commons-management/1.0,,,Apache v2
commons-logging,Commons-logging-api,1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.apache.camel,camel-groovy ,2.5.0,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.apache.camel/camel-groovy/2.7.2
org.apache.camel,Camel-spring,2.5.0,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.apache.camel/camel-spring/2.5.0
org.springframework,Spring-tx,3.0.4.
org.springframework,spring-context ,3.0.4.,Apache 2.0 licence,http://www.jarvana.com/jarvana/inspect-pom/org/springframework/spring-context/2.5.6/spring-context-2.5.6.pom
org.springframework,Spring-expression,3.0.4.,Apache 2.0 licence ,http://javasourcecode.org/html/open-source/spring/spring-3.0.4/org/springframework/expression/spel/SpelMessage.java.html
org.springframework,Spring-core,3.0.4.,Apache 2.0 licence,http://www.springsource.org/about
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
commons-logging,Commons-logging-api,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,Spring-aop,3.0.4.,Apache 2.0 licence,http://i2.grepcode.com/file/repo1.maven.org/maven2/org.springframework/spring-aop/3.0.4.RELEASE/org/springframework/aop/ProxyMethodInvocation.java/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,Spring-core,3.0.4.,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence ,http://grepo.codehaus.org/grepo-core/license.html
commons-logging ,commons-logging ,1.1.1,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
aopalliance,aopalliance ,1.0,Public Domain,http://aopalliance.sourceforge.net/
org.springframework,spring-beans ,3.0.4.,Apache 2.0 licence ,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
org.springframework,spring-core ,3.0.4.,Apache 2.0 licence,http://grepo.codehaus.org/grepo-core/license.html
org.springframework,spring-asm ,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-web/3.0.4.RELEASE
commons-logging ,Commons-logging,1.1.1,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/commons-logging/commons-logging/1.1.1
org.springframework,Spring-core,3.0.4.,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.springframework.security/spring-security-core/3.0.4.RELEASE
